description,category,merchant_base
Achizitie CITIRE CONTOR Brasov RO,Utilities,Citire contor
E.ON Online RO,Utilities,E.ON
PURCHASE Netflix Ploiesti #4321,Subscriptions,Netflix
PURCHASE La Doi Pasi Center 12345,Groceries,La Doi Pasi
POS Banca Transilvania transfer Drumul Taberei RID:34521,Transfer,Banca Transilvania transfer
PMT POS Nintendo eShop Center (RO),Entertainment,Nintendo eShop
Cumparare Steam Store ROM #14,Entertainment,Steam Store
Plata POS supeco Park Lake 12345,Groceries,Supeco
PMT Rezervare Airbnb Cluj Drumul Taberei #001,Travel,Rezervare Airbnb Cluj
POS Bowling Mega Mall Promenada RO,Entertainment,Bowling Mega Mall
PMT CARTURESTI Floreasca RID:34521,Education,Carturesti
PMT POS Brilliant.org Timisoara #4321,Education,Brilliant.org
Plata cu cardul TV CABLU ROMTELECOM Aviatorilor #4321,Utilities,TV Cablu Romtelecom
PURCHASE DECONT DEPLASARE Online (RO),Salary,Decont deplasare
Plata POS Bonus anual Pipera 12345,Salary,Bonus anual
Cumparare rompetrol Bucuresti 12345,Transport,Rompetrol
Achizitie Intretinere EU #4321,Housing,Intretinere
Cumparare KRAKEN BUY Oradea RO,Investments,Kraken buy
Cablu TV + Internet Online #4321,Utilities,Cablu TV + Internet
POS CEC Bank transfer Mall Vitan #001,Transfer,CEC Bank transfer
Achizitie CARREFOUR.RO ONLINE Oradea AUT:887412,Groceries,Carrefour.ro online
achizitie aplicatie Bucharest RO,Other,Achizitie aplicatie
Plata cu cardul Recoltare analize EU #4321,Health,Recoltare analize
PMT cofetaria capsa Mall,Other,Cofetaria Capsa
Cumparare Salariu Net Aprilie Downtown 12345,Salary,Salariu Net Aprilie
POS intretinere Branch 12 #221,Housing,Intretinere
Cumparare max.com Bucharest 12345,Subscriptions,Max.com
PMT POS discord nitro AFI Cotroceni #4321,Entertainment,Discord Nitro
Achizitie Revolut top-up EU 12345,Transfer,Revolut top-up
POS Electrician apartament Promenada RID:34521,Housing,Electrician apartament
POS bar de zi floreasca Vitan RID:34521,Restaurants,Bar de zi Floreasca
PURCHASE Raja Constanta Mall Vitan #14,Utilities,Raja Constanta
Plata POS SUSHI NOW Center RO,Restaurants,Sushi Now
Plata cu cardul Broker BT Capital Constanta #14,Investments,Broker BT Capital
Cumparare spar Mall Vitan 12345,Groceries,Spar
Cumparare Vivre.ro EU,Other,Vivre.ro
Cumparare asociatie locatari sect 1 Galati #14,Housing,Asociatie locatari sect 1
PURCHASE Floraria Mada Store 04 #221,Other,Floraria Mada
Storia.ro listare Oradea,Housing,Storia.ro listare
Plata cu cardul STEAM Downtown 12345,Entertainment,Steam
Cumparare Webull deposit Floreasca #001,Investments,Webull deposit
PC Garage Pipera #001,Other,PC Garage
PMT POS olx imobiliare Promenada #14,Housing,OLX Imobiliare
PMT STB Brasov #001,Transport,STB
PMT SCHIMB VALUTAR RAIFFEISEN Pipera (RO),Transfer,Schimb valutar Raiffeisen
POS BOLT*RIDE Cotroceni (RO),Transport,BOLT*RIDE
POS SALON COAFOR Cluj 12345,Other,Salon Coafor
PMT cinema city promenada Promenada #4321,Entertainment,Cinema City Promenada
POS etsy purchase Downtown RID:34521,Other,Etsy purchase
Plata POS Tichete cadou Edenred Online #4321,Salary,Tichete cadou Edenred
Achizitie Salariu Net Mai Store 04 #4321,Salary,Salariu Net Mai
POS ASE Bucuresti Brasov #14,Education,ASE Bucuresti
Plata POS UBER EATS Galati #14,Restaurants,Uber Eats
POS Taxa scolarizare master Floreasca #001,Education,Taxa scolarizare master
Achizitie MASTERCLASS ANNUAL RO,Subscriptions,MasterClass annual
Plata POS EDX Branch 12 (RO),Education,edX
Cumparare LUKOIL Park Lake,Transport,Lukoil
Achizitie PAYSLIP TECH CORP Oradea 12345,Salary,Payslip Tech Corp
Plata cu cardul AU BON PAIN Bucharest,Restaurants,Au Bon Pain
POS OPENSEA PURCHASE NFT Floreasca RO,Investments,OpenSea purchase NFT
Achizitie Cinemax Store 04 #001,Entertainment,Cinemax
POS Vivo Restaurant RO #221,Restaurants,Vivo Restaurant
Plata POS wendys Branch 12 #221,Restaurants,Wendys
PMT POS Trattoria Buongiorno Ploiesti #001,Restaurants,Trattoria Buongiorno
PURCHASE stb bucuresti Downtown,Transport,STB Bucuresti
PMT POS medlife Online #4321,Health,MedLife
PURCHASE FARMACIA DONA Iasi 12345,Health,Farmacia Dona
POS SUSHI TO GO Online #221,Restaurants,Sushi to Go
PMT GetYourGuide tur AFI Cotroceni AUT:887412,Travel,GetYourGuide tur
Cumparare INSTALATOR URGENTA EU,Housing,Instalator urgenta
PMT POS cloudflare pro Store 04 #4321,Subscriptions,Cloudflare Pro
POS coursera Bucharest 12345,Education,Coursera
PMT POS CURTEA VECHE BISTRO Promenada #001,Restaurants,Curtea Veche Bistro
Achizitie PlayStation Network ROM RID:34521,Entertainment,PlayStation Network
PMT foodpanda Branch 12 #4321,Restaurants,FoodPanda
Cumparare plata chirie iulie Constanta 12345,Housing,Plata chirie iulie
Cumparare bio romania Cluj RO,Groceries,Bio Romania
POS SCOALA GENERALA 4 Vitan #14,Education,Scoala Generala 4
Imobiliare.ro listare Mall Vitan #221,Housing,Imobiliare.ro listare
PURCHASE Metrorex Baneasa RID:34521,Transport,Metrorex
Achizitie Binance Spot Constanta RO,Investments,Binance Spot
Cumparare TV CABLU ROMTELECOM Timisoara RO,Utilities,TV Cablu Romtelecom
Achizitie Virament BRD catre BCR Bucharest #4321,Transfer,Virament BRD catre BCR
Achizitie RCS RDS Branch 12 #221,Utilities,RCS RDS
Achizitie adobe creative cloud Aviatorilor (RO),Subscriptions,Adobe Creative Cloud
Plata POS BK Promenada RID:34521,Restaurants,BK
PMT POS ASIGURARE CALATORIE ALLIANZ Constanta RID:34521,Travel,Asigurare calatorie Allianz
Achizitie NIKE STORE Park Lake #221,Other,Nike store
PMT Raja Constanta Oradea RID:34521,Utilities,Raja Constanta
KINDLE UNLIMITED EU AUT:887412,Subscriptions,Kindle Unlimited
Plata cu cardul UBER EATS Bucuresti #4321,Restaurants,Uber Eats
Plata cu cardul bistroteca Pipera 12345,Restaurants,Bistroteca
Niro Market Drumul Taberei,Groceries,Niro Market
PMT POS headspace Brasov AUT:887412,Subscriptions,Headspace
PURCHASE upc romania Store 04 RID:34521,Utilities,UPC Romania
Plata cu cardul BRD transfer extern Sun Plaza #001,Transfer,BRD transfer extern
PMT TOP-UP REVOLUT RO #001,Transfer,Top-up Revolut
POS ASOCIATIE PROPRIETARI BLOC 5 Pipera RID:34521,Housing,Asociatie Proprietari Bloc 5
Plata cu cardul bowling cosmos Constanta RID:34521,Entertainment,Bowling Cosmos
PMT POS shein order Online #14,Other,Shein order
PMT TRADING212 DEPOSIT RO,Investments,Trading212 deposit
PURCHASE PUB DRUMUL TABEREI Timisoara AUT:887412,Restaurants,Pub Drumul Taberei
Plata cu cardul VIETNAM RESTAURANT Center #4321,Restaurants,Vietnam Restaurant
Plata cu cardul coop Floreasca (RO),Groceries,Coop
WENDYS Promenada #14,Restaurants,Wendys
PMT CEZ Romania AFI Cotroceni 12345,Utilities,CEZ Romania
Cumparare Metro Cash & Carry Branch 12 #4321,Groceries,Metro Cash & Carry
Plata POS taxi pelicanul Baneasa 12345,Transport,Taxi Pelicanul
Plata cu cardul PIZZERIA 4 AMICI Bucuresti,Restaurants,Pizzeria 4 Amici
Achizitie DECONT SALARIAL Mall Vitan #221,Salary,Decont salarial
PMT UBER EATS Sun Plaza 12345,Restaurants,Uber Eats
Achizitie Trading 212 Invest Online RO,Investments,Trading 212 Invest
Plata cu cardul LUFTHANSA Aviatorilor #001,Travel,Lufthansa
PURCHASE Joc PC Steam Mall Vitan,Entertainment,Joc PC Steam
Plata cu cardul Salariu ore suplimentare Sibiu RO,Salary,Salariu ore suplimentare
PMT costa coffee Constanta RO,Restaurants,Costa Coffee
POS SPITALUL FLOREASCA ROM #4321,Health,Spitalul Floreasca
Achizitie Libraria Humanitas RO #4321,Education,Libraria Humanitas
Plata POS trader joe's Ploiesti #14,Groceries,Trader Joe's
Achizitie restaurant hanu' berarilor RO RID:34521,Restaurants,Restaurant Hanu' Berarilor
PMT POS NOTION PERSONAL Bucharest AUT:887412,Subscriptions,Notion Personal
Cumparare crypto staking reward Promenada (RO),Investments,Crypto staking reward
POS chirie luna iulie Iasi RO,Housing,Chirie luna iulie
PMT POS Lufthansa AFI Cotroceni #001,Travel,Lufthansa
PMT POS City tour Lisbon Baneasa 12345,Travel,City tour Lisbon
Plata POS Bolt Scooter Downtown #4321,Transport,Bolt Scooter
POS CLAUDE PRO Center AUT:887412,Subscriptions,Claude Pro
PMT SPITALUL COLTEA Sibiu #001,Health,Spitalul Coltea
Plata cu cardul Patiseria Simigerie EU (RO),Groceries,Patiseria Simigerie
Plata cu cardul SUSHI TO GO Timisoara AUT:887412,Restaurants,Sushi to Go
PURCHASE ETF EUNL EU RO,Investments,ETF EUNL
PMT POS Shein order ROM,Other,Shein order
Achizitie VIVRE.RO Ploiesti AUT:887412,Other,Vivre.ro
PMT calvin klein store RO #221,Other,Calvin Klein store
Cumparare Qatar Airways EU #14,Travel,Qatar Airways
Achizitie RCS RDS Sibiu RO,Utilities,RCS RDS
PMT POS FESTIVAL ELECTRIC CASTLE Branch 12 (RO),Entertainment,Festival Electric Castle
PMT STARBUCKS Floreasca AUT:887412,Restaurants,Starbucks
PMT POS Gift card EU (RO),Other,Gift card
Achizitie Taxa scolarizare licenta Branch 12 RID:34521,Education,Taxa scolarizare licenta
POS Hotel Hilton Sibiu Iasi,Travel,Hotel Hilton Sibiu
POS Asigurare apartament ROM #4321,Housing,Asigurare apartament
POS Rovinieta Branch 12,Transport,Rovinieta
Cumparare RAJA CONSTANTA Sibiu RO,Utilities,Raja Constanta
POS Liceul Cantemir Timisoara RO,Education,Liceul Cantemir
PURCHASE TRADER JOE'S Store 04,Groceries,Trader Joe's
PMT Mentenanta lift Bucharest #4321,Housing,Mentenanta lift
POS asociatie locatari sect 1 Baneasa (RO),Housing,Asociatie locatari sect 1
PURCHASE subway Downtown,Restaurants,Subway
Cumparare virament salariu net Downtown RO,Salary,VIRAMENT SALARIU NET
Plata POS wish.com Constanta #14,Other,Wish.com
Achizitie PARCARE AEROPORT OTOPENI Drumul Taberei #14,Transport,Parcare Aeroport Otopeni
PURCHASE ETF VOO ROM #001,Investments,ETF VOO
Cumparare E.ON Park Lake RO,Utilities,E.ON
PMT Equity buy MSFT Constanta AUT:887412,Investments,Equity buy MSFT
PMT POS SANADOR Sibiu,Health,Sanador
Plata cu cardul Wise transfer Constanta AUT:887412,Transfer,Wise transfer
PMT POS sportisimo Baneasa 12345,Other,Sportisimo
PMT POS DECONT DEPLASARE EU RO,Salary,Decont deplasare
Plata POS UNISWAP SWAP Branch 12 RO,Investments,Uniswap swap
PURCHASE SALARY EMPLOYER Pipera 12345,Salary,SALARY EMPLOYER
PMT hotel marriott bucuresti Bucharest 12345,Travel,Hotel Marriott Bucuresti
PMT Treehouse Ploiesti RO,Education,Treehouse
Cumparare Festival Neversea Promenada RID:34521,Entertainment,Festival Neversea
Plata cu cardul Crypto staking reward Drumul Taberei 12345,Investments,Crypto staking reward
Cumparare Cofetaria Delice Online,Other,Cofetaria Delice
Plata cu cardul aeroitalia Mall Vitan #221,Travel,AeroItalia
Achizitie 5 to Go Branch 12 #001,Restaurants,5 to Go
COURSERA PLUS ANNUAL Pipera RO,Subscriptions,Coursera Plus annual
PURCHASE LENSA.RO Brasov RID:34521,Health,Lensa.ro
Plata POS Crypto airdrop Vitan (RO),Investments,Crypto airdrop
PMT SINSAY ROM 12345,Other,Sinsay
E.ON Energie Romania Aviatorilor #001,Utilities,E.ON Energie Romania
PMT POS Payroll April 2026 Center #001,Salary,Payroll April 2026
PMT pubul trafic AFI Cotroceni AUT:887412,Restaurants,Pubul Trafic
PMT domo romania EU 12345,Other,Domo Romania
Plata POS Rata ipoteca Cotroceni #4321,Housing,Rata ipoteca
niro market Mall Vitan RID:34521,Groceries,Niro Market
Cumparare British Airways Downtown 12345,Travel,British Airways
Plata POS SURFSHARK VPN Drumul Taberei #4321,Subscriptions,Surfshark VPN
Cumparare AIRBNB Sibiu #001,Travel,Airbnb
Achizitie OPTICA QUATTRO Sibiu (RO),Health,Optica Quattro
POS PAYPAL TRANSFER Galati 12345,Transfer,PayPal transfer
PMT POS internet fibra optica Pipera 12345,Utilities,Internet fibra optica
Plata cu cardul Mega Image Shop&Go Drumul Taberei RID:34521,Groceries,Mega Image Shop&Go
PMT POS AUTO SERVICE PITESTI Constanta 12345,Transport,Auto Service Pitesti
ROBINHOOD DEPOSIT Galati #4321,Investments,Robinhood deposit
POS Piata Obor RO #221,Groceries,Piata Obor
PURCHASE Cafenea Aviatorilor AFI Cotroceni RO,Restaurants,Cafenea Aviatorilor
PURCHASE Restaurantul La Mama Downtown,Restaurants,Restaurantul La Mama
PMT POS Dr Dentist Ploiesti (RO),Health,Dr Dentist
Plata POS Gift card Online AUT:887412,Other,Gift card
POS Lifeclub Sala ROM RID:34521,Health,Lifeclub Sala
Plata cu cardul ETF SPY Cluj #14,Investments,ETF SPY
Plata POS Vueling Vitan #14,Travel,Vueling
Plata cu cardul Hornbach magazin Downtown #4321,Other,Hornbach magazin
Achizitie BABBEL SUBSCRIPTION Bucuresti #221,Subscriptions,Babbel subscription
POS curatenie casa Constanta RID:34521,Housing,Curatenie casa
Plata POS GitHub Pro Aviatorilor #221,Subscriptions,GitHub Pro
POS Inchiriere masina Sixt Galati (RO),Travel,Inchiriere masina Sixt
PURCHASE Terasa Vara Herastrau Bucharest RO,Restaurants,Terasa Vara Herastrau
CFR Calatori Bucharest,Transport,CFR Calatori
Cumparare revolut transfer to friend Downtown RO,Transfer,Revolut transfer to friend
PMT POS CHIRIE LUNA MAI Timisoara #14,Housing,Chirie luna mai
Cumparare engie fact Timisoara AUT:887412,Utilities,ENGIE FACT
Plata POS air france EU,Travel,Air France
Cumparare Trader Joe's Pipera (RO),Groceries,Trader Joe's
PMT POS APOMETRU INDEX Branch 12 #14,Utilities,Apometru index
PURCHASE Uber Romania Baneasa RID:34521,Transport,Uber Romania
Plata POS Cabinet Stomatologic Bright Timisoara RID:34521,Health,Cabinet Stomatologic Bright
Plata POS Achizitie diversa ROM,Other,Achizitie diversa
PURCHASE FMI Bucuresti RO #001,Education,FMI Bucuresti
POS Twitch subscription Store 04 #001,Entertainment,Twitch subscription
PMT TERASA VARA HERASTRAU Vitan RID:34521,Restaurants,Terasa Vara Herastrau
Plata POS FIVE GUYS Center (RO),Restaurants,Five Guys
Plata POS Medic de familie Vitan #001,Health,Medic de familie
PURCHASE LinkedIn Learning EU RO,Education,LinkedIn Learning
Plata cu cardul crucea rosie donatie Floreasca (RO),Other,Crucea Rosie donatie
Plata cu cardul stripe payout Timisoara,Salary,Stripe payout
Achizitie BONUS PERFORMANTA Q2 Ploiesti 12345,Salary,Bonus performanta Q2
Plata POS METAMASK TRANSACTION Branch 12 #001,Investments,MetaMask transaction
POS Chirie luna iulie Cotroceni RO,Housing,Chirie luna iulie
POS stb abonament online Online #14,Transport,STB Abonament Online
PMT dominos pizza Downtown 12345,Restaurants,Dominos Pizza
Plata cu cardul Brutaria Paul Ploiesti RO,Groceries,Brutaria Paul
Plata POS TAROM bilet online Floreasca,Travel,TAROM bilet online
Cumparare PROFI CITY Center,Groceries,Profi City
POS McDonald's Mall,Restaurants,McDonald's
PURCHASE ETF SPY Store 04 #221,Investments,ETF SPY
Cumparare FARMACIA TEI Bucharest AUT:887412,Health,Farmacia Tei
POS concert mihai margineanu Mall AUT:887412,Entertainment,Concert Mihai Margineanu
PURCHASE EPIC GAMES Galati #14,Entertainment,Epic Games
Cumparare ROYALTY PAYMENT AMAZON Pipera,Salary,Royalty payment Amazon
PURCHASE UDEMY COURSE Downtown #4321,Education,Udemy Course
Cumparare caffe del sud Drumul Taberei #001,Restaurants,Caffe del Sud
PURCHASE Air France Bucuresti 12345,Travel,Air France
Plata cu cardul Lem's mobilier Mall Vitan #221,Other,Lem's mobilier
PMT Recoltare analize EU RID:34521,Health,Recoltare analize
Plata POS Selgros Center #221,Groceries,Selgros
Cumparare Colegiul National Lazar Center RO,Education,Colegiul National Lazar
POS Colegiul Mihai Viteazul Iasi #221,Education,Colegiul Mihai Viteazul
Plata cu cardul UBER*TRIP ROM (RO),Transport,UBER*TRIP
Plata cu cardul Tichete vacanta Branch 12 #221,Salary,Tichete vacanta
PMT POS lifeclub sala Floreasca,Health,Lifeclub Sala
Achizitie RESTAURANTUL LA MAMA Downtown #4321,Restaurants,Restaurantul La Mama
Plata cu cardul Drumuri Nationale RO #14,Transport,Drumuri Nationale
PMT TRENITALIA Bucharest AUT:887412,Transport,Trenitalia
Squarespace Plan Pipera 12345,Subscriptions,Squarespace Plan
PURCHASE LIBRARIA HUMANITAS Bucharest RO,Education,Libraria Humanitas
PMT POS Cinema City Promenada Sun Plaza #001,Entertainment,Cinema City Promenada
PMT POS McD Oradea #221,Restaurants,McD
PMT drumuri nationale Iasi (RO),Transport,Drumuri Nationale
Achizitie salariu ore suplimentare Mall Vitan (RO),Salary,Salariu ore suplimentare
PMT POS CLAUDE.AI Online #001,Subscriptions,Claude.ai
Plata POS BLACKROCK ISHARES Center AUT:887412,Investments,BlackRock iShares
PMT POS Transfer Revolut to BCR Center (RO),Transfer,Transfer Revolut to BCR
BERSHKA SHOP Branch 12 RO,Other,Bershka shop
PMT POS onorariu consultanta Park Lake 12345,Salary,Onorariu consultanta
Achizitie REALESTATE ROMANIA Downtown #4321,Housing,RealEstate Romania
Achizitie Uniqlo Constanta #001,Other,Uniqlo
POS xbox live EU #001,Entertainment,Xbox Live
PURCHASE FACULTATEA DE INFORMATICA Center #14,Education,Facultatea de Informatica
Achizitie tichete cadou edenred Park Lake,Salary,Tichete cadou Edenred
Grammarly Premium Cotroceni 12345,Subscriptions,Grammarly Premium
POS puma store Timisoara RO,Other,Puma store
PMT POS glovo Floreasca RO,Restaurants,Glovo
POS BOOTCAMP CODING Online,Education,Bootcamp Coding
Cumparare TakeAway Downtown 12345,Restaurants,TakeAway
Sanador Diagnostic Cotroceni AUT:887412,Health,Sanador Diagnostic
PMT POS Cablu TV + Internet Mall Vitan RID:34521,Utilities,Cablu TV + Internet
Achizitie CEC VIRAMENT Bucuresti #4321,Transfer,CEC virament
Plata POS ROSETTA STONE ROM #4321,Education,Rosetta Stone
Achizitie OFFICE 365 Branch 12 #001,Subscriptions,Office 365
Plata POS MADO PASTRY & COFFEE Park Lake #14,Restaurants,Mado Pastry & Coffee
PMT orange prepay Downtown #14,Utilities,Orange PrePay
POS Equity buy NVDA Sibiu 12345,Investments,Equity buy NVDA
Plata POS disney plus RO #001,Subscriptions,Disney Plus
Plata POS HOTEL ATHENEE PALACE Mall Vitan #14,Travel,Hotel Athenee Palace
POS curatenie casa Bucharest #221,Housing,Curatenie casa
POS Bonus performanta Q2 Center #14,Salary,Bonus performanta Q2
PMT Cafenea Aviatorilor Bucuresti AUT:887412,Restaurants,Cafenea Aviatorilor
PMT POS rezervare airbnb cluj EU 12345,Travel,Rezervare Airbnb Cluj
Achizitie Twitch subscription RO AUT:887412,Entertainment,Twitch subscription
Plata POS Storia.ro listare Sibiu (RO),Housing,Storia.ro listare
POS top-up revolut Cluj #4321,Transfer,Top-up Revolut
Plata cu cardul UNIVERSITATE TEHNICA Cotroceni #14,Education,Universitate Tehnica
Plata cu cardul P2P PAYMENT ANDREI Aviatorilor AUT:887412,Transfer,P2P payment Andrei
SALAD BOX Ploiesti #14,Restaurants,Salad Box
Achizitie Curatatorie 5aSec Downtown RO,Other,Curatatorie 5aSec
Plata POS PATISERIE BOULANGERIE Mall Vitan RID:34521,Other,Patiserie Boulangerie
Plata cu cardul Steam Oradea #14,Entertainment,Steam
POS ASOCIATIE PROPRIETARI BLOC 5 Brasov RO,Housing,Asociatie Proprietari Bloc 5
POS realestate romania Constanta #4321,Housing,RealEstate Romania
Escape Room Logica Branch 12,Entertainment,Escape Room Logica
Cumparare Electrician apartament Brasov RID:34521,Housing,Electrician apartament
Plata POS Costa Coffee Aviatorilor RO,Restaurants,Costa Coffee
PMT POS YouTube Music Branch 12,Subscriptions,YouTube Music
PMT POS Mentenanta lift Online 12345,Housing,Mentenanta lift
PURCHASE CODECADEMY EU RID:34521,Education,Codecademy
POS Tommy Hilfiger RO #221,Other,Tommy Hilfiger
Plata POS skillshare Sun Plaza #14,Education,Skillshare
PMT POS TAXA SCOLARIZARE LICENTA Galati (RO),Education,Taxa scolarizare licenta
Cumparare RAT Sibiu Online RO,Transport,RAT Sibiu
POS CEC Bank transfer Bucuresti RO,Transfer,CEC Bank transfer
Achizitie OMV PETROLSTATION Center #4321,Transport,OMV PetrolStation
Plata POS frontend masters subscription Bucharest #221,Education,Frontend Masters subscription
POS Raja Constanta Mall Vitan RO,Utilities,Raja Constanta
Cumparare OpenSea purchase NFT Sibiu #221,Investments,OpenSea purchase NFT
PURCHASE COFETARIA CAPSA Branch 12 12345,Other,Cofetaria Capsa
PURCHASE Hard Rock Cafe Sun Plaza #14,Restaurants,Hard Rock Cafe
PMT Pensie facultativa NN Pipera 12345,Investments,Pensie facultativa NN
POS hipmenu Pipera 12345,Restaurants,Hipmenu
PMT POS apa nova bucuresti RO RO,Utilities,Apa Nova Bucuresti
teatrul mic Cluj #4321,Entertainment,Teatrul Mic
Cumparare Bank to bank SWIFT Floreasca RID:34521,Transfer,Bank to bank SWIFT
COMISION AGENTIE IMOBILIARA Park Lake #221,Housing,Comision agentie imobiliara
POS Zen Sushi RO #221,Restaurants,Zen Sushi
Plata cu cardul Stripe payout Mall 12345,Salary,Stripe payout
POS Bolt Food RO,Restaurants,Bolt Food
LIFECLUB SALA Aviatorilor (RO),Health,Lifeclub Sala
Mentenanta lift Brasov RID:34521,Housing,Mentenanta lift
Karaoke Sing City Park Lake (RO),Entertainment,Karaoke Sing City
Plata cu cardul FESTIVAL UNTOLD EU #001,Entertainment,Festival Untold
Plata cu cardul Yoga clasa Mall,Health,Yoga clasa
Cumparare La Placinte RO #221,Restaurants,La Placinte
liceul cantemir Online #221,Education,Liceul Cantemir
PMT Add money Revolut Center RID:34521,Transfer,Add money Revolut
Plata chirie iulie Cotroceni #14,Housing,Plata chirie iulie
Achizitie WOLT Pipera RO,Restaurants,Wolt
Cumparare M60 Coffee Aviatorilor RID:34521,Restaurants,M60 Coffee
Cumparare DEGIRO TRANSFER Store 04 #14,Investments,DEGIRO transfer
Cumparare CHEF BURGER Store 04 RO,Restaurants,Chef Burger
Plata POS eToro deposit Ploiesti,Investments,eToro deposit
PMT COINBASE BUY RO #14,Investments,Coinbase buy
Achizitie Cabinet Stomatologic Bright RO 12345,Health,Cabinet Stomatologic Bright
Plata cu cardul LUKOIL Sibiu AUT:887412,Transport,Lukoil
Cumparare MCDS Oradea #221,Restaurants,MCDS
Plata POS Rompetrol Statie Store 04 AUT:887412,Transport,Rompetrol Statie
Achizitie WAGE TRANSFER Sibiu #221,Salary,Wage Transfer
Plata POS TAXA SCOLARIZARE LICENTA Store 04 RID:34521,Education,Taxa scolarizare licenta
Synevo Laborator ROM 12345,Health,Synevo Laborator
PURCHASE FRESHMARKET Baneasa #14,Groceries,FreshMarket
PURCHASE Linea Closer to the Moon ROM AUT:887412,Restaurants,Linea Closer to the Moon
Plata cu cardul etf eunl Drumul Taberei RO,Investments,ETF EUNL
Plata cu cardul Direct Deposit ACME Sun Plaza #4321,Salary,Direct Deposit ACME
Achizitie Imobiliare.ro listare Center #4321,Housing,Imobiliare.ro listare
Plata cu cardul taxi cris Bucharest RO,Transport,Taxi Cris
Plata POS vietnam restaurant RO AUT:887412,Restaurants,Vietnam Restaurant
PURCHASE RealEstate Romania Bucharest #4321,Housing,RealEstate Romania
ETF VOO Bucuresti RO,Investments,ETF VOO
PURCHASE NETFLIX PREMIUM Bucuresti #14,Subscriptions,Netflix Premium
PMT POS vodafone romania Sun Plaza #4321,Utilities,Vodafone Romania
Achizitie Cazare camin studenti Baneasa #14,Education,Cazare camin studenti
Plata POS APA CLUJ Promenada,Utilities,Apa Cluj
POS policlinica titu maiorescu Park Lake 12345,Health,Policlinica Titu Maiorescu
P2P PAYMENT ANA Bucharest RID:34521,Transfer,P2P payment Ana
Plata cu cardul Arby's RO,Restaurants,Arby's
Cumparare citire contor ROM 12345,Utilities,Citire contor
Plata cu cardul IKEA BUCURESTI Mall #001,Other,IKEA Bucuresti
PURCHASE psn store Sibiu #221,Entertainment,PSN Store
Plata POS DROPBOX PLUS Galati AUT:887412,Subscriptions,Dropbox Plus
PMT Medic de familie Branch 12 12345,Health,Medic de familie
PMT POS Tradeville Romania Promenada #001,Investments,Tradeville Romania
POS Parking Mall Bucharest,Transport,Parking Mall
Plata POS ASIGURARE LOCUINTA Online #4321,Housing,Asigurare locuinta
PMT POS Hotel Crowne Plaza Baneasa #14,Travel,Hotel Crowne Plaza
POS Marketul de Cartier Branch 12 #221,Groceries,Marketul de Cartier
PMT Bootcamp Data Science Bucuresti #4321,Education,Bootcamp Data Science
Plata cu cardul CABINET STOMATOLOGIC BRIGHT Cotroceni (RO),Health,Cabinet Stomatologic Bright
Cumparare ICLOUD STORAGE 200GB Park Lake #001,Subscriptions,iCloud Storage 200GB
Microsoft 365 Family EU (RO),Subscriptions,Microsoft 365 Family
trading212 deposit Center RO,Investments,Trading212 deposit
PMT POS RENT JULY Branch 12 #4321,Housing,RENT JULY
Achizitie EDX Center,Education,edX
Plata cu cardul DUNKIN DONUTS Timisoara RID:34521,Restaurants,Dunkin Donuts
Cumparare ADOBE PHOTOSHOP Cotroceni 12345,Subscriptions,Adobe Photoshop
PURCHASE CABINET CARDIOLOGIE EU 12345,Health,Cabinet Cardiologie
Plata cu cardul MAX.COM Vitan,Subscriptions,Max.com
PMT Fresca Bucuresti (RO),Restaurants,Fresca
Plata cu cardul medicover Brasov RID:34521,Health,Medicover
energiea bar Cluj RID:34521,Restaurants,Energiea Bar
PMT brd transfer extern Oradea #14,Transfer,BRD transfer extern
Plata cu cardul MEDICOVER ROMANIA Cotroceni 12345,Health,Medicover Romania
Achizitie SALARIU NET APRILIE Center RO,Salary,Salariu Net Aprilie
PMT Reparatii instalatie sanitara ROM 12345,Housing,Reparatii instalatie sanitara
Plata POS Workshop UX Bucharest #4321,Education,Workshop UX
Cumparare AIR FRANCE Galati (RO),Travel,Air France
Plata POS SALARY TRANSFER Sun Plaza 12345,Salary,SALARY TRANSFER
Plata POS DEGIRO DEPOSIT Pipera #14,Investments,DEGIRO deposit
Cumparare SANADOR Drumul Taberei AUT:887412,Health,Sanador
Cumparare Payslip Tech Corp Floreasca #001,Salary,Payslip Tech Corp
Airbnb Downtown RID:34521,Travel,Airbnb
Plata POS Factura internet Galati 12345,Utilities,Factura internet
PMT YouTube TV Mall #4321,Subscriptions,YouTube TV
SURFSHARK VPN Center AUT:887412,Subscriptions,Surfshark VPN
PURCHASE COURSERA PLUS Brasov RO,Education,Coursera Plus
Achizitie PUBUL TRAFIC Drumul Taberei #221,Restaurants,Pubul Trafic
POS Decont deplasare ROM,Salary,Decont deplasare
PMT SALARY TRANSFER ROM AUT:887412,Salary,SALARY TRANSFER
Cumparare Engie GazNaturale Floreasca #14,Utilities,Engie GazNaturale
PMT POS RENT JULY Cotroceni RO,Housing,RENT JULY
LC WAIKIKI ROM,Other,LC Waikiki
Plata cu cardul deposit rent Constanta #001,Housing,Deposit rent
Plata POS BILET AVION ONLINE EU RO,Travel,Bilet avion online
POS wizz air Vitan #221,Travel,Wizz Air
Cumparare STB Bucuresti Cluj #001,Transport,STB Bucuresti
Cumparare FreshMarket Constanta RO,Groceries,FreshMarket
